imdb_id,title,runtime,overview,rated,imdb_votes,popularity,imdb_rating,rotten_tomatoes_rating,metacritic_rating,budget,revenue,financial_success,star_1,star_2,star_3,genre_1,genre_2,genre_3,director_1,director_2,release_year,outcome
tt0103060,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,88 min,"The Turtles and the Shredder battle once again, this time for the last cannister of the ooze that created the Turtles, which Shredder wants to create an army of new mutants.",PG,"61,522",32.318,6.0,36.0,45.0,25000000,78656813,True,Paige Turco, David Warner, Michelan Sisti,Action, Adventure, Comedy,Michael Pressman,,1991,False
tt0089907,The Return of the Living Dead,91 min,"When foreman Frank shows new employee Freddy a secret military experiment in a supply warehouse in Louisville, Kentucky, the two klutzes accidentally release a gas that reanimates corpses into flesh-eating zombies. As the epidemic spreads throughout the town, and the creatures satisfy their hunger in gory and outlandish ways, Frank and Freddy fight to survive with the help of their boss and a mysterious mortician.",R,"70,141",24.097,7.3,91.0,66.0,4000000,14200000,True,Clu Gulager, James Karen, Don Calfa,Comedy, Horror, Sci-Fi,Dan O'Bannon,,1985,True
tt1355644,Passengers,116 min,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",PG-13,"454,961",32.285,7.0,30.0,41.0,110000000,303144152,True,Jennifer Lawrence, Chris Pratt, Michael Sheen,Drama, Romance, Sci-Fi,Morten Tyldum,,2016,False
tt6108178,Disobedience,114 min,"A woman learns about the death of her Orthodox Jewish father, a rabbi. She returns home and has romantic feelings rekindled for her best childhood friend, who is now married to her cousin.",R,"36,707",34.348,6.6,84.0,74.0,6000000,8000000,True,Rachel Weisz, Rachel McAdams, Alessandro Nivola,Drama,,,Sebastián Lelio,,2018,True
tt0075029,The Outlaw Josey Wales,135 min,"After avenging his family's brutal murder, Wales is pursued by a pack of soldiers. He prefers to travel alone, but ragtag outcasts are drawn to him - and Wales can't bring himself to leave them unprotected.",PG,"80,946",32.262,7.8,91.0,69.0,3700000,31800000,True,Clint Eastwood, Sondra Locke, Chief Dan George,Drama, Western,,Clint Eastwood,,1976,True
tt14641788,Enola Holmes 2,129 min,"Now a detective-for-hire like her infamous brother, Enola Holmes takes on her first official case to find a missing girl, as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends — and Sherlock himself — to unravel.",PG-13,"103,495",31.617,6.8,93.0,64.0,0,0,False,Millie Bobby Brown, Henry Cavill, David Thewlis,Action, Adventure, Crime,Harry Bradbeer,,2022,False
tt5093026,Papillon,151 min,"Henri “Papillon” Charrière, a safecracker from the Parisian underworld, is wrongfully convicted and sentenced to life imprisonment in the penal colony of French Guiana, where he forges a strong friendship with Louis Dega, a counterfeiter who needs his protection.",R,"139,552",32.248,8.0,72.0,58.0,0,10060903,True,Steve McQueen, Dustin Hoffman, Victor Jory,Biography, Crime, Drama,Franklin J. Schaffner,,2017,False
tt0443543,The Illusionist,110 min,"With his eye on a lovely aristocrat, a gifted illusionist named Eisenheim uses his powers to win her away from her betrothed, a crown prince. But Eisenheim's scheme creates tumult within the monarchy and ignites the suspicion of a dogged inspector.",PG-13,"392,028",32.206,7.5,73.0,68.0,16500000,87892388,True,Edward Norton, Jessica Biel, Paul Giamatti,Drama, Fantasy, Mystery,Neil Burger,,2006,True
tt0120873,U.S. Marshals,131 min,"U.S. Marshal Sam Gerard is accompanying a plane load of convicts from Chicago to New York. The plane crashes spectacularly, and Mark Sheridan escapes. But when Diplomatic Security Agent John Royce is assigned to help Gerard recapture Sheridan, it becomes clear that Sheridan is more than just another murderer.",PG-13,"114,818",32.199,6.6,30.0,47.0,60000000,102367405,True,Tommy Lee Jones, Wesley Snipes, Robert Downey Jr.,Action, Crime, Thriller,Stuart Baird,,1998,False
tt0021814,Dracula,75 min,"British estate agent Renfield travels to Transylvania to meet with the mysterious Count Dracula, who is interested in leasing a castle in London and is, unbeknownst to Renfield, a vampire. After Dracula enslaves Renfield and drives him to insanity, the pair sail to London together, and as Dracula begins preying on London socialites, the two become the subject of study for a supernaturalist professor, Abraham Van Helsing.",Passed,"59,506",45.072,7.4,94.0,71.0,355000,700000,True,Bela Lugosi, Helen Chandler, David Manners,Drama, Fantasy, Horror,Tod Browning, Karl Freund,1931,True
