imdb_id,title,runtime,overview,rated,imdb_votes,popularity,imdb_rating,rotten_tomatoes_rating,metacritic_rating,budget,revenue,financial_success,star_1,star_2,star_3,genre_1,genre_2,genre_3,director_1,director_2,release_year,outcome
tt0295701,xXx,124 min,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",PG-13,"187,525",369.083,5.8,48.0,48.0,70000000,277448382,True,Vin Diesel, Asia Argento, Marton Csokas,Action, Adventure, Thriller,Rob Cohen,,2002,False
tt4154756,Avengers: Infinity War,149 min,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",PG-13,"1,226,533",270.163,8.4,85.0,68.0,300000000,2052415039,True,Robert Downey Jr., Chris Hemsworth, Mark Ruffalo,Action, Adventure, Sci-Fi,Anthony Russo, Joe Russo,2018,True
tt23778968,Thelma,116 min,"When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her.",Not Rated,"37,145",263.208,7.0,92.0,74.0,5000000,9818454,True,Eili Harboe, Kaya Wilkins, Henrik Rafaelsen,Drama, Fantasy, Horror,Joachim Trier,,2024,True
tt0078748,Alien,117 min,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",R,"964,356",231.091,8.5,93.0,89.0,11000000,104931801,True,Sigourney Weaver, Tom Skerritt, John Hurt,Horror, Sci-Fi,,Ridley Scott,,1979,True
tt27534307,Speak No Evil,97 min,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",Not Rated,"42,374",226.591,6.6,84.0,78.0,15000000,0,False,Morten Burian, Sidsel Siem Koch, Fedja van Huêt,Drama, Horror, Thriller,Christian Tafdrup,,2024,False
tt2096673,Inside Out,95 min,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",PG,"818,922",245.63,8.1,98.0,94.0,175000000,857611174,True,Amy Poehler, Bill Hader, Lewis Black,Animation, Adventure, Comedy,Pete Docter, Ronnie Del Carmen,2015,True
tt0816692,Interstellar,169 min,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,PG-13,"2,153,343",217.639,8.7,73.0,74.0,165000000,701729206,True,Matthew McConaughey, Anne Hathaway, Jessica Chastain,Adventure, Drama, Sci-Fi,Christopher Nolan,,2014,True
tt0389722,30 Days of Night,113 min,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",R,"190,890",178.579,6.6,51.0,53.0,30000000,75505973,True,Josh Hartnett, Melissa George, Danny Huston,Action, Horror, Thriller,David Slade,,2007,False
