imdb_id,title,release_year,runtime,genre,overview,director,actors,rated,imdb_votes,popularity,budget,revenue,star_1,star_2,star_3,genre_1,genre_2,genre_3,director_1,director_2
tt4877122,The Emoji Movie,2017,86 min,"Animation, Adventure, Comedy","Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",Tony Leondis,"T.J. Miller, James Corden, Anna Faris",PG,"72,249",31.746,50000000,216909830,T.J. Miller, James Corden, Anna Faris,Animation, Adventure, Comedy,Tony Leondis,
tt8385474,A Dog's Journey,2019,109 min,"Adventure, Comedy, Drama",A dog finds the meaning of his own existence through the lives of the humans he meets.,Gail Mancuso,"Josh Gad, Dennis Quaid, Kathryn Prescott",PG,"29,381",31.729,16000000,78871079,Josh Gad, Dennis Quaid, Kathryn Prescott,Adventure, Comedy, Drama,Gail Mancuso,
tt0482629,The Ultimate Gift,2007,114 min,"Drama, Family, Romance","When his wealthy grandfather finally dies, Jason Stevens fully expects to benefit when it comes to the reading of the will. But instead of a sizable inheritance, Jason receives a test, a series of tasks he must complete before he can get any money.",Michael O. Sajbel,"Drew Fuller, James Garner, Abigail Breslin",PG,"20,696",31.726,0,3438735,Drew Fuller, James Garner, Abigail Breslin,Drama, Family, Romance,Michael O. Sajbel,
tt1245492,This Is the End,2013,107 min,"Comedy, Fantasy","While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse.","Evan Goldberg, Seth Rogen","James Franco, Jonah Hill, Seth Rogen",R,"437,914",31.705,32000000,126041322,James Franco, Jonah Hill, Seth Rogen,Comedy, Fantasy,,Evan Goldberg, Seth Rogen
tt1488606,Triple Frontier,2019,125 min,"Action, Thriller","Struggling to make ends meet, former special ops soldiers reunite for a high-stakes heist: stealing $75 million from a South American drug lord.",J.C. Chandor,"Ben Affleck, Oscar Isaac, Charlie Hunnam",R,"148,632",31.689,0,0,Ben Affleck, Oscar Isaac, Charlie Hunnam,Action, Thriller,,J.C. Chandor,
tt3748172,Gerald's Game,2017,103 min,"Drama, Horror, Thriller","When her husband's sex game goes wrong, Jessie (who is handcuffed to a bed in a remote lake house) faces warped visions, dark secrets and a dire choice.",Mike Flanagan,"Carla Gugino, Bruce Greenwood, Chiara Aurelia",TV-MA,"130,113",31.669,0,0,Carla Gugino, Bruce Greenwood, Chiara Aurelia,Drama, Horror, Thriller,Mike Flanagan,
tt5093026,Papillon,2017,151 min,"Biography, Crime, Drama","Henri “Papillon” Charrière, a safecracker from the Parisian underworld, is wrongfully convicted and sentenced to life imprisonment in the penal colony of French Guiana, where he forges a strong friendship with Louis Dega, a counterfeiter who needs his protection.",Franklin J. Schaffner,"Steve McQueen, Dustin Hoffman, Victor Jory",R,"139,552",31.615,0,10060903,Steve McQueen, Dustin Hoffman, Victor Jory,Biography, Crime, Drama,Franklin J. Schaffner,
tt0258000,Panic Room,2002,112 min,"Crime, Drama, Thriller","Trapped in their New York brownstone's panic room, a hidden chamber built as a sanctuary in the event of break-ins, newly divorced Meg Altman and her young daughter Sarah play a deadly game of cat-and-mouse with three intruders - Burnham, Raoul and Junior - during a brutal home invasion. But the room itself is the focal point because what the intruders really want is inside it.",David Fincher,"Jodie Foster, Kristen Stewart, Forest Whitaker",R,"300,166",31.563,48000000,197100000,Jodie Foster, Kristen Stewart, Forest Whitaker,Crime, Drama, Thriller,David Fincher,
tt1691917,Planes,2013,91 min,"Animation, Adventure, Comedy","Dusty is a cropdusting plane who dreams of competing in a famous aerial race. The problem? He is hopelessly afraid of heights. With the support of his mentor Skipper and a host of new friends, Dusty sets off to make his dreams come true.",Klay Hall,"Carlos Alazraqui, Dane Cook, Stacy Keach",PG,"49,121",31.535,50000000,219788712,Carlos Alazraqui, Dane Cook, Stacy Keach,Animation, Adventure, Comedy,Klay Hall,
tt11252248,Dog,2022,101 min,"Comedy, Drama",An army ranger and his dog embark on a road trip along the Pacific Coast Highway to attend a friend's funeral.,"Reid Carolin, Channing Tatum","Channing Tatum, Ryder McLaughlin, Aavi Haas",PG-13,"47,574",31.522,20000000,84774243,Channing Tatum, Ryder McLaughlin, Aavi Haas,Comedy, Drama,,Reid Carolin, Channing Tatum
tt2568862,Going in Style,2017,96 min,"Comedy, Crime","Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.",Zach Braff,"Michael Caine, Alan Arkin, Ann-Margret",PG-13,"92,560",31.512,25000000,84618541,Michael Caine, Alan Arkin, Ann-Margret,Comedy, Crime,,Zach Braff,
tt4139588,Polar,2019,118 min,"Action, Crime, Thriller","When a retiring assassin realizes that he is the target of a hit, he winds up back in the game going head to head with a gang of younger, ruthless killers.",Jonas Åkerlund,"Mads Mikkelsen, Vanessa Hudgens, Katheryn Winnick",TV-MA,"100,262",31.508,0,0,Mads Mikkelsen, Vanessa Hudgens, Katheryn Winnick,Action, Crime, Thriller,Jonas Åkerlund,
tt0864835,Mr. Peabody & Sherman,2014,92 min,"Animation, Adventure, Comedy","A young boy and his dog, who happens to have a genius-level IQ, spring into action when their time-machine is stolen and moments in history begin to be changed.",Rob Minkoff,"Ty Burrell, Max Charles, Stephen Colbert",PG,"78,963",31.487,145000000,272912430,Ty Burrell, Max Charles, Stephen Colbert,Animation, Adventure, Comedy,Rob Minkoff,
tt0112461,The Basketball Diaries,1995,102 min,"Biography, Crime, Drama",A high school basketball player’s life turns upside down after free-falling into the harrowing world of drug addiction.,Scott Kalvert,"Leonardo DiCaprio, Lorraine Bracco, Marilyn Sokol",R,"122,489",31.477,2000000,2381087,Leonardo DiCaprio, Lorraine Bracco, Marilyn Sokol,Biography, Crime, Drama,Scott Kalvert,
tt2304933,The 5th Wave,2016,112 min,"Action, Adventure, Sci-Fi",16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,J Blakeson,"Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez",PG-13,"118,586",31.471,38000000,109906372,Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez,Action, Adventure, Sci-Fi,J Blakeson,
tt0245674,Thir13en Ghosts,2001,91 min,"Fantasy, Horror","Arthur and his two children, Kathy and Bobby, inherit his Uncle Cyrus's estate: a glass house that serves as a prison to 12 ghosts. When the family, accompanied by Bobby's Nanny and an attorney, enter the house they find themselves trapped inside an evil machine ""designed by the devil and powered by the dead"" to open the Eye of Hell. Aided by Dennis, a ghost hunter, and his rival Kalina, a ghost rights activist out to set the ghosts free, the group must do what they can to get out of the house alive.",Steve Beck,"Tony Shalhoub, Shannon Elizabeth, Embeth Davidtz",R,"94,920",31.451,42000000,68500000,Tony Shalhoub, Shannon Elizabeth, Embeth Davidtz,Fantasy, Horror,,Steve Beck,
tt0417148,Snakes on a Plane,2006,105 min,"Action, Adventure, Crime","FBI agent Neville Flynn boards a flight from Honolulu, Hawaii to Los Angeles, escorting a key witness to testify against a mob boss at an upcoming trial. An on-board assassin releases a crate full of hundreds of deadly venomous snakes in an attempt to eliminate the witness. Flynn and a host of frightened passengers and crew must band together to survive the slithery threat.",David R. Ellis,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips",R,"145,468",31.445,33000000,62022014,Samuel L. Jackson, Julianna Margulies, Nathan Phillips,Action, Adventure, Crime,David R. Ellis,
tt2094766,Assassin's Creed,2016,115 min,"Action, Adventure, Sci-Fi","Through unlocked genetic memories that allow him to relive the adventures of his ancestor in 15th century Spain, Callum Lynch discovers he's a descendant of the secret 'Assassins' society. After gaining incredible knowledge and skills, he is now poised to take on the oppressive Knights Templar in the present day.",Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jeremy Irons",PG-13,"210,145",31.409,125000000,240700000,Michael Fassbender, Marion Cotillard, Jeremy Irons,Action, Adventure, Sci-Fi,Justin Kurzel,
tt0388980,The Greatest Game Ever Played,2005,120 min,"Biography, Drama, Sport","A biopic of 20-year-old Francis Ouimet who defeated his golfing idol and 1900 US Open Champion, Harry Vardon.",Bill Paxton,"Shia LaBeouf, Stephen Dillane, Elias Koteas",PG,"33,989",31.407,26000000,15431177,Shia LaBeouf, Stephen Dillane, Elias Koteas,Biography, Drama, Sport,Bill Paxton,
tt0052357,Vertigo,1958,128 min,"Mystery, Romance, Thriller","A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes",PG,"432,364",31.384,2479000,7797728,James Stewart, Kim Novak, Barbara Bel Geddes,Mystery, Romance, Thriller,Alfred Hitchcock,
tt3513548,Richard Jewell,2019,131 min,"Biography, Crime, Drama","Richard Jewell thinks quick, works fast, and saves hundreds, perhaps thousands, of lives after a domestic terrorist plants several pipe bombs and they explode during a concert, only to be falsely suspected of the crime by sloppy FBI work and sensational media coverage.",Clint Eastwood,"Paul Walter Hauser, Sam Rockwell, Brandon Stanley",R,"99,240",31.359,45000000,33900000,Paul Walter Hauser, Sam Rockwell, Brandon Stanley,Biography, Crime, Drama,Clint Eastwood,
tt2854926,Tag,2018,100 min,"Action, Comedy","For one month every year, five highly competitive friends hit the ground running in a no-holds-barred game of tag they’ve been playing since the first grade. This year, the game coincides with the wedding of their only undefeated player, which should finally make him an easy target. But he knows they’re coming...and he’s ready.",Jeff Tomsic,"Jeremy Renner, Ed Helms, Jake Johnson",R,"149,001",31.354,28000000,75100000,Jeremy Renner, Ed Helms, Jake Johnson,Action, Comedy,,Jeff Tomsic,
tt0808357,"Lust, Caution",2007,157 min,"Drama, History, Romance","During World War II, a secret agent must seduce then assassinate an official who works for the Japanese puppet government in Shanghai. Her mission becomes clouded when she finds herself falling in love with the man she is assigned to kill.",Ang Lee,"Tony Leung Chiu-wai, Tang Wei, Joan Chen",NC-17,"45,895",31.354,15000000,67100000,Tony Leung Chiu-wai, Tang Wei, Joan Chen,Drama, History, Romance,Ang Lee,
tt2170439,Horrible Bosses 2,2014,108 min,"Comedy, Crime","Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme.",Sean Anders,"Jason Bateman, Jason Sudeikis, Charlie Day",R,"186,298",31.339,42000000,107645357,Jason Bateman, Jason Sudeikis, Charlie Day,Comedy, Crime,,Sean Anders,
tt9244554,Last Looks,2022,110 min,"Action, Comedy, Crime","A disgraced ex-cop seeks solace by moving to the woods, but his quiet life comes to an end when a private eye recruits him to investigate the murder of an eccentric TV star's wife.",Tim Kirkby,"Charlie Hunnam, Mel Gibson, Lucy Fry",R,"12,537",31.319,0,365644,Charlie Hunnam, Mel Gibson, Lucy Fry,Action, Comedy, Crime,Tim Kirkby,
tt0076618,The Rescuers,1977,77 min,"Animation, Adventure, Comedy","What can two little mice possibly do to save an orphan girl who's fallen into evil hands? With a little cooperation and faith in oneself, anything is possible! As members of the mouse-run International Rescue Aid Society, Bernard and Miss Bianca respond to orphan Penny's call for help. The two mice search for clues with the help of an old cat named Rufus.","John Lounsbery, Wolfgang Reitherman, Art Stevens","Bob Newhart, Eva Gabor, Geraldine Page",G,"70,771",31.302,7500000,169000000,Bob Newhart, Eva Gabor, Geraldine Page,Animation, Adventure, Comedy,John Lounsbery," Wolfgang Reitherman, Art Stevens"
tt0426592,Superhero Movie,2008,75 min,"Action, Comedy, Sci-Fi","Rick Riker is a nerdy teen imbued with superpowers by a radioactive dragonfly. And because every hero needs a nemesis, enter Lou Landers, aka the villainously goofy Hourglass.",Craig Mazin,"Drake Bell, Leslie Nielsen, Sara Paxton",PG-13,"76,808",31.286,35000000,71571300,Drake Bell, Leslie Nielsen, Sara Paxton,Action, Comedy, Sci-Fi,Craig Mazin,
tt0369339,Collateral,2004,120 min,"Action, Crime, Drama",Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.,Michael Mann,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith",R,"437,885",31.283,65000000,220239925,Tom Cruise, Jamie Foxx, Jada Pinkett Smith,Action, Crime, Drama,Michael Mann,
tt0113855,Mortal Kombat,1995,110 min,"Action, Adventure, Fantasy","For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",Simon McQuoid,"Lewis Tan, Jessica McNamee, Josh Lawson",R,"192,758",31.272,18000000,122195920,Lewis Tan, Jessica McNamee, Josh Lawson,Action, Adventure, Fantasy,Simon McQuoid,
tt10515988,Paranormal Activity: Next of Kin,2021,98 min,"Horror, Mystery, Thriller",Margot is a documentary filmmaker looking to meet her long-lost mother and extended family in a secluded Amish community. She and her film crew soon realize the family that welcomes them into their home might be hiding a sinister secret.,William Eubank,"Emily Bader, Roland Buck III, Dan Lippert",R,"17,134",31.244,0,0,Emily Bader, Roland Buck III, Dan Lippert,Horror, Mystery, Thriller,William Eubank,
tt0879870,Eat Pray Love,2010,133 min,"Biography, Drama, Romance","Liz Gilbert had everything a modern woman is supposed to dream of having – a husband, a house and a successful career – yet like so many others, she found herself lost, confused and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy, the power of prayer in India and, finally and unexpectedly, the inner peace and balance of true love in Bali.",Ryan Murphy,"Julia Roberts, Javier Bardem, Richard Jenkins",PG-13,"107,235",31.24,60000000,204594016,Julia Roberts, Javier Bardem, Richard Jenkins,Biography, Drama, Romance,Ryan Murphy,
tt8356942,The 355,2022,122 min,"Action, Thriller","A group of top female agents from American, British, Chinese, Colombian, and German government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos.",Simon Kinberg,"Jessica Chastain, Penélope Cruz, Bingbing Fan",PG-13,"38,761",31.234,75000000,55700000,Jessica Chastain, Penélope Cruz, Bingbing Fan,Action, Thriller,,Simon Kinberg,
tt10855768,Missing,2023,111 min,"Drama, Mystery, Thriller","When her mother disappears while on vacation in Colombia with her new boyfriend, June’s search for answers is hindered by international red tape. Stuck thousands of miles away in Los Angeles, June creatively uses all the latest technology at her fingertips to try and find her before it’s too late. But as she digs deeper, her digital sleuthing raises more questions than answers... and when June unravels secrets about her mom, she discovers that she never really knew her at all.","Nicholas D. Johnson, Will Merrick","Tim Griffin, Ava Zaria Lee, Nia Long",PG-13,"61,890",31.219,7000000,45100756,Tim Griffin, Ava Zaria Lee, Nia Long,Drama, Mystery, Thriller,Nicholas D. Johnson, Will Merrick
tt3201640,Extinction,2020,95 min,"Action, Drama, Sci-Fi","A chief mechanic at a factory, haunted by apocalyptic nightmares, becomes a hero when Earth is invaded by a mysterious army bent on destruction.",Ben Young,"Michael Peña, Lizzy Caplan, Amelia Crouch",TV-MA,"58,425",31.203,0,1451864,Michael Peña, Lizzy Caplan, Amelia Crouch,Action, Drama, Sci-Fi,Ben Young,
tt0405422,The 40 Year Old Virgin,2005,116 min,"Comedy, Romance","Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom.",Judd Apatow,"Steve Carell, Catherine Keener, Paul Rudd",R,"473,138",31.2,26000000,177400000,Steve Carell, Catherine Keener, Paul Rudd,Comedy, Romance,,Judd Apatow,
tt1778304,Paranormal Activity 3,2011,83 min,"Horror, Mystery, Thriller","In 1988, young sisters Katie and Kristi befriend an invisible entity who resides in their home.","Henry Joost, Ariel Schulman","Chloe Csengery, Jessica Tyler Brown, Christopher Nicholas Smith",R,"100,494",31.195,5000000,207039844,Chloe Csengery, Jessica Tyler Brown, Christopher Nicholas Smith,Horror, Mystery, Thriller,Henry Joost, Ariel Schulman
tt1985966,Cloudy with a Chance of Meatballs 2,2013,95 min,"Animation, Adventure, Comedy","After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.","Cody Cameron, Kris Pearn","Bill Hader, Anna Faris, Will Forte",PG,"116,577",31.184,78000000,248384621,Bill Hader, Anna Faris, Will Forte,Animation, Adventure, Comedy,Cody Cameron, Kris Pearn
tt0762107,I Now Pronounce You Chuck & Larry,2007,115 min,"Comedy, Romance","Firefighters Chuck Ford and Larry Valentine are guy's guys, loyal to the core—which is why when widower Larry asks Chuck to pose as his lover so that he can get domestic partner benefits for his kids, his buddy agrees. However, things get dicey when a bureaucrat comes calling, and the boys are forced to present a picture of domestic bliss.",Dennis Dugan,"Adam Sandler, Kevin James, Jessica Biel",PG-13,"155,141",31.176,85000000,187134117,Adam Sandler, Kevin James, Jessica Biel,Comedy, Romance,,Dennis Dugan,
tt2140379,Self/less,2015,117 min,"Action, Mystery, Sci-Fi",An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,Tarsem Singh,"Ryan Reynolds, Natalie Martinez, Matthew Goode",PG-13,"104,612",31.175,26000000,31807156,Ryan Reynolds, Natalie Martinez, Matthew Goode,Action, Mystery, Sci-Fi,Tarsem Singh,
tt2397461,Clifford the Big Red Dog,2021,96 min,"Adventure, Comedy, Family","As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",Walt Becker,"Darby Camp, Jack Whitehall, Izaac Wang",PG,"17,394",31.157,64000000,107347356,Darby Camp, Jack Whitehall, Izaac Wang,Adventure, Comedy, Family,Walt Becker,
