star_1,number_of_stars
Breckin Meyer,2
Mark Rylance,2
Ben Foster,2
Jordana Brewster,2
Gregory Peck,2
Winona Ryder,2
Orson Welles,2
Kevin James,2
Freddie Highmore,2
Meg Ryan,2
Anthony Hopkins,2
Renée Zellweger,2
Steve Martin,2
Dustin Hoffman,2
Steve McQueen,2
Kevin Hart,2
Woody Harrelson,2
Isabela Merced,2
Vince Vaughn,2
Jet Li,2
James Spader,2
Jim Sturgess,2
Lupita Nyong'o,2
Cuba Gooding Jr.,2
Sean Penn,2
Taylor Russell,2
Sarah Michelle Gellar,2
Aaron Eckhart,2
Humphrey Bogart,2
Emily Browning,2
Emma Thompson,2
Steve Guttenberg,2
Julia Roberts,2
John Wayne,2
Richard Dreyfuss,2
Jodie Foster,2
Aileen Quinn,1
Gemma Chan,1
Nicholas Hoult,1
Mirabai Pease,1
Craig T. Nelson,1
Toni Collette,1
Emilia Clarke,1
Danny Elfman,1
Utkarsh Ambudkar,1
Amy Poehler,1
Micah Abbey,1
Rosalie Chiang,1
Tony Goldwyn,1
Taylor Zakhar Perez,1
Anthony LaPaglia,1
Daveigh Chase,1
Jackie Earle Haley,1
Tom Hiddleston,1
Marlon Brando,1
Kelly Marie Tran,1
John Boyega,1
Matthew Modine,1
Johnny Pacar,1
Halle Berry,1
Hector Kotsifakis,1
Keir Dullea,1
Tim Robbins,1
Ben Whishaw,1
Grace Caroline Currey,1
Daniel Hansen,1
Cillian Murphy,1
Henry Fonda,1
Zach Galifianakis,1
Tom McGrath,1
Dakota Fanning,1
Olivia Cooke,1
Ryan Kwanten,1
Kelly Macdonald,1
Edward Asner,1
Madeline Carroll,1
Anthony Gonzalez,1
Sosie Bacon,1
David Spade,1
Gena Rowlands,1
Brie Larson,1
Michelle Yeoh,1
Chadwick Boseman,1
Albert Brooks,1
Kyle Chandler,1
Eva Noblezada,1
Charles Pitt,1
Brad Garrett,1
Ben Schwartz,1
Chris Rock,1
Taron Egerton,1
Denis Leary,1
Anika Noni Rose,1
Justin Timberlake,1
Eva Green,1
Christian Friedel,1
Ronny Cox,1
Gerardo Taracena,1
Morten Burian,1
David Dastmalchian,1
Dan Castellaneta,1
Mahershala Ali,1
Martin Sheen,1
Leah Lewis,1
Letitia Wright,1
Carrie Coon,1
Lauren LaVera,1
LeBron James,1
Helen Hunt,1
Auli'i Cravalho,1
Anthony Ramos,1
Brett Granstaff,1
Simu Liu,1
Reiko Aylesworth,1
Courteney Cox,1
Ryan Potter,1
Ellen Burstyn,1
Orlando Bloom,1
Andy Serkis,1
Rosa Salazar,1
Thomas Mann,1
Linda Hamilton,1
Y'lan Noel,1
Fionn Whitehead,1
Ben Burtt,1
Eili Harboe,1
Sullivan Stapleton,1
Malcolm McDowell,1
Morris Chestnut,1
Lauren German,1
Danny DeVito,1
Hank Azaria,1
Timothée Chalamet,1
Thomas Jane,1
Chantal Quesnelle,1
Tom Rhys Harries,1
Alicia Vikander,1
Lori Cardille,1
Gabriel Almirón,1
Amanda Seyfried,1
Jane Levy,1
Mary Costa,1
Robert Duvall,1
D.B. Sweeney,1
Mitchel Musso,1
Demi Lovato,1
John David Washington,1
Elizabeth Olsen,1
Bryan Cranston,1
Kenneth Branagh,1
Oscar Isaac,1
Justin Whalin,1
Devon Sawa,1
Bob Odenkirk,1
Samara Weaving,1
Judi Dench,1
Nick Zano,1
Roger Moore,1
Scott Eastwood,1
Lily Collins,1
Ted Levine,1
Allison Williams,1
Blake Lively,1
Christopher Lambert,1
Ed Helms,1
Queen Latifah,1
Adam Driver,1
Kit Young,1
Jeffrey Wright,1
Elisabeth Shue,1
Ulrich Thomsen,1
Henry Thomas,1
Judy Garland,1
Barbara Luddy,1
Sydney Sweeney,1
Haley Lu Richardson,1
Paul Mescal,1
David Bowie,1
Jonathan Breck,1
James Franciscus,1
Rami Malek,1
Eli Marienthal,1
Marilyn Burns,1
Tyler Posey,1
Luke Treadaway,1
Hugo Weaving,1
Tim Hill,1
Luke Evans,1
Nikolaj Coster-Waldau,1
Tyler Perry,1
Ana de la Reguera,1
Ward Horton,1
Cayden Boyd,1
Jim Parsons,1
Dev Patel,1
Rod Taylor,1
Mary Elizabeth Winstead,1
Will Arnett,1
Jason Segel,1
Adrian Paul,1
Lucy Hale,1
Kristen Connolly,1
Sean Astin,1
Kirk Cameron,1
Suraj Sharma,1
Hailee Steinfeld,1
Franka Potente,1
Jane Fonda,1
Goldie Hawn,1
Gene Wilder,1
Phil Harris,1
Mila Kunis,1
Abigail Cowen,1
Tom Guiry,1
Dean-Charles Chapman,1
Stephen Lang,1
Ashton Kutcher,1
Hardie Albright,1
Brenton Thwaites,1
Jeffrey Dean Morgan,1
Anthony Perkins,1
Greta Lee,1
Christoph Waltz,1
Mason Thames,1
Gina Philips,1
Gael García Bernal,1
Sofia Carson,1
Jason Momoa,1
Jenna Ortega,1
Eric Bana,1
Karen Gillan,1
Nicholas D'Agosto,1
A.J. Cook,1
Jared Leto,1
Ty Simpkins,1
Keri Russell,1
Rupert Friend,1
Rain,1
Danny Glover,1
Lin Shaye,1
Alison Lohman,1
Patton Oswalt,1
Quinton Aaron,1
Audrey Hepburn,1
Liyabuya Gongo,1
Ellen DeGeneres,1
John Krasinski,1
Catherine Hicks,1
Priscilla C. Shirer,1
Demi Moore,1
Anya Taylor-Joy,1
Matt Passmore,1
Alden Ehrenreich,1
Christina Ricci,1
Taylor Kitsch,1
Kevin Kline,1
Brandon Routh,1
Travis Fimmel,1
Julie Christie,1
Teresa Palmer,1
Duane Jones,1
Tyler Labine,1
Emma Roberts,1
Sally Hawkins,1
Noah Ringer,1
T.J. Miller,1
Simon Pegg,1
Ine Marie Wilmann,1
Mira Sorvino,1
Allison Dawn Doiron,1
Mike Vogel,1
Felicity Jones,1
JoBeth Williams,1
Jessica Biel,1
Bill Pullman,1
Alex Vincent,1
Bill Hader,1
Mekhi Phifer,1
Cary Grant,1
Laura Linney,1
Steve Austin,1
Sharon Stone,1
Jason Scott Lee,1
Steve Zahn,1
Scott Speedman,1
Sarah Yarkin,1
Sarah Butler,1
F. Murray Abraham,1
Alexander Molony,1
Christian Slater,1
Donnie Wahlberg,1
Ben Kingsley,1
Lauren Birkell,1
Grant Cramer,1
Amy Landecker,1
Greg Kinnear,1
Josh Zuckerman,1
Peter Sallis,1
Justin Theroux,1
John Cena,1
Eugenio Derbez,1
Abbi Jacobson,1
Carlos Alazraqui,1
Robert Hoffman,1
Vicky Krieps,1
John Fiedler,1
Greg Cipes,1
Daniella Alonso,1
Jonny Lee Miller,1
Katie Leung,1
Lake Bell,1
Kathy Bates,1
Jason Drucker,1
Chris Kattan,1
Rose Byrne,1
Paige Turco,1
Jake Johnson,1
Jimmy Wong,1
Sook-Yin Lee,1
Reiley McClendon,1
Andy Samberg,1
Dacre Montgomery,1
Rowan Blanchard,1
Laurence Fishburne,1
Chloe Bennet,1
Hayden Panettiere,1
Nikolai Leon,1
Jamie Kennedy,1
Matthew Lillard,1
Chris J. Murray,1
John Michael Finley,1
Gugu Mbatha-Raw,1
Julianne Moore,1
Odette Annable,1
Justin Chatwin,1
Michael Reilly Burke,1
Casper Van Dien,1
Clu Gulager,1
David Naughton,1
Matilda Anna Ingrid Lutz,1
Rock Hudson,1
Lizzy Caplan,1
Lulu Wilson,1
Lorenza Izzo,1
Armie Hammer,1
Bill Farmer,1
Stephen Chow,1
Chiwetel Ejiofor,1
Kirsten Dunst,1
Elizabeth Taylor,1
Wendi McLendon-Covey,1
Tim Blake Nelson,1
Andrew McCarthy,1
Jay Hernandez,1
Evan Rachel Wood,1
James Mason,1
Lio Mehiel,1
Chaney Kley,1
Jerry Seinfeld,1
Benjamin Walker,1
Dan Stevens,1
Bela Lugosi,1
Haley Joel Osment,1
Mel Brooks,1
Charlton Heston,1
Robert Hays,1
Ken Watanabe,1
Liam Hemsworth,1
Jacqueline Byers,1
Eminem,1
Michael Jordan,1
Scott Patterson,1
Perdita Weeks,1
Elias Koteas,1
Linda Cardellini,1
Cailee Spaeny,1
Katheryn Winnick,1
Dermot Mulroney,1
Wil Wheaton,1
Tom Bateman,1
Darby Camp,1
Rickie Sorensen,1
Debi Derryberry,1
Trey Parker,1
Julianna Margulies,1
Eileen Brennan,1
Elizabeth Banks,1
Nick Blood,1
Alisha Wainwright,1
Robert Mitchum,1
Brian Krause,1
Mickey Rooney,1
Thomas Haden Church,1
Jennifer Beals,1
Zach Braff,1
Chad Michael Murray,1
Amanda Bynes,1
George Kennedy,1
Bob Hoskins,1
Jeff Goldblum,1
Heather Donahue,1
Zoe Colletti,1
Paul Newman,1
Lee Marvin,1
Ryan Guzman,1
Brittany Murphy,1
Pierce Brosnan,1
Max Records,1
Sean Maguire,1
Hera Hilmar,1
Russell Brand,1
Scott Adkins,1
Gene Cunningham,1
Maisie Williams,1
Diego Luna,1
Emilia Jones,1
Matthias Schweighöfer,1
Camilla Belle,1
David Harbour,1
Drew Fuller,1
O'Shea Jackson Jr.,1
David Caruso,1
Travis Tedford,1
Jovan Adepo,1
Elizabeth Reaser,1
Sam Neill,1
Chuck Norris,1
Isla Fisher,1
Grant Bardsley,1
Steven Seagal,1
Robert Taylor,1
Peter Dinklage,1
Ziyi Zhang,1
Emilio Estevez,1
Elle Fanning,1
Brandon Quintin Adams,1
Geena Davis,1
Bel Powley,1
Claire Foy,1
Gene Hackman,1
Havana Rose Liu,1
Dennis Hopper,1
Brian Bonsall,1
James Caan,1
Rosamund Pike,1
Kate Maberly,1
Frank Whaley,1
Anna Hopkins,1
Elizabeth Berkley,1
Chloe Csengery,1
Eve Hewson,1
Gideon Adlon,1
Katherine Heigl,1
Ricky Gervais,1
Neil Patrick Harris,1
Spencer Tracy,1
Dee Wallace,1
Michael Caine,1
Robin Tunney,1
Rooney Mara,1
Hugh Grant,1
Jensen Ackles,1
Samantha Mathis,1
Chyler Leigh,1
Michael Dudikoff,1
Brendan Gleeson,1
Barbara Hershey,1
Jason James Richter,1
Josh Brolin,1
Danny Trejo,1
Scott Shepherd,1
Dan Aykroyd,1
Drake Bell,1
Hal Holbrook,1
Jason Patric,1
Steven Strait,1
Kristen Wiig,1
Nick Cannon,1
Javier Bardem,1
Lil Rel Howery,1
David Arquette,1
Tim Curry,1
Leslie Mann,1
Martyn Ford,1
Kyrie Irving,1
Martin Henderson,1
Sarah Jessica Parker,1
Nia Long,1
Rick Moranis,1
Clark Gable,1
YaYa Gosselin,1
Keith Gordon,1
Cate Blanchett,1
Felix Kammerer,1
Erich Anderson,1
Georgina Campbell,1
Kellan Lutz,1
Pete Davidson,1
Leopold Stokowski,1
Alex Pettyfer,1
Sean Faris,1
Bob Newhart,1
Seth MacFarlane,1
50 Cent,1
Sophie Thatcher,1
Ken Takakura,1
Jeffrey Combs,1
Chevy Chase,1
Aubrey Plaza,1
Kaitlyn Dever,1
Robin Shou,1
Freddie Prinze Jr.,1
Alex Neustaedter,1
Kieran O'Brien,1
Katherine Sigismund,1
Robert John Burke,1
B.J. Novak,1
Edgar Ramírez,1
Taye Diggs,1
Michael Peña,1
River Phoenix,1
John Savage,1
Paul Giamatti,1
Casey Affleck,1
Bruce Lee,1
Nick Purcha,1
Garret Dillahunt,1
Kate Bosworth,1
Rachel Sennott,1
Sam Waterston,1
Asa Butterfield,1
Tom Glynn-Carney,1
C. Thomas Howell,1
Bella Thorne,1
Olivia DeJonge,1
Nathan Fillion,1
Michael Beck,1
Andree Maranda,1
Katie Featherston,1
Tim Griffin,1
Keira Knightley,1
Clive Owen,1
Zoey Deutch,1
Whoopi Goldberg,1
Jason Schwartzman,1
Kel Mitchell,1
Ruth Negga,1
Katie Holmes,1
Mark Ruffalo,1
Melissa McCarthy,1
Liv Tyler,1
Marilyn Monroe,1
Andrew Robinson,1
Adam Scott,1
Elizabeth Daily,1
Jeff Fahey,1
William H. Macy,1
John Cho,1
Roddy Piper,1
Bing Crosby,1
Isabella Rossellini,1
Jenna Jameson,1
Leonard Whiting,1
Claire Danes,1
Stephen Dunham,1
Regina Hall,1
Kevin Conroy,1
Tony Leung Chiu-wai,1
Andrew Lawrence,1
Gene Kelly,1
Ray Stevenson,1
Zoë Kravitz,1
Mads Mikkelsen,1
Thom Mathews,1
Diane Keaton,1
Zoe Saldana,1
Ty Burrell,1
Rutger Hauer,1
Ed Harris,1
Jonathan Majors,1
Ky-Mani Marley,1
Guy Pearce,1
Jessica McNamee,1
Tom Berenger,1
Pam Grier,1
Don Cheadle,1
Todd Armstrong,1
George C. Scott,1
Ron Livingston,1
Sophia Lillis,1
Kris Kristofferson,1
Christina Hendricks,1
Brady Corbet,1
Robert Wisdom,1
Fairuza Balk,1
Gabriel Byrne,1
Stellan Skarsgård,1
Divine,1
Michelle Williams,1
Richard Burton,1
Olivia Taylor Dudley,1
Adam Devine,1
Blayne Weaver,1
Daniel Brühl,1
Walter Matthau,1
